2017-09-09 14:25:52,343 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@42d80b78: startup date [Sat Sep 09 14:25:52 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-09-09 14:25:52,953 | INFO  | PListStore:[G:\app_server\apache-activemq-5.9.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-09-09 14:25:52,968 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[G:\app_server\apache-activemq-5.9.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-09-09 14:25:53,322 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-60259-1504938353205-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-09-09 14:25:53,333 | INFO  | Listening for connections at: tcp://jameszhou-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-09 14:25:53,335 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-09-09 14:25:53,339 | INFO  | Listening for connections at: amqp://jameszhou-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-09 14:25:53,340 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2017-09-09 14:25:53,344 | INFO  | Listening for connections at: stomp://jameszhou-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-09 14:25:53,346 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-09-09 14:25:53,349 | INFO  | Listening for connections at: mqtt://jameszhou-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-09 14:25:53,350 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-09-09 14:25:53,467 | INFO  | Listening for connections at ws://jameszhou-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-09-09 14:25:53,468 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2017-09-09 14:25:53,469 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-60259-1504938353205-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-09-09 14:25:53,471 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-09-09 14:25:53,707 | INFO  | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | main
2017-09-09 14:25:53,711 | INFO  | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal" | io.hawt.web.AuthenticationFilter | main
